experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	Hubert 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	11 	G 	E 	0.0 	-2.0 	0
main	1 	Hubert 	 T1T2 	 0 	9 	H 	P 	0.0 	-1.0 	12 	R 	H 	0.0 	-3.0 	0
main	2 	Hubert 	 T1T2 	 0 	9 	E 	T 	0.0 	-1.0 	14 	U 	G 	0.0 	-11.0 	0
main	3 	Hubert 	 T1T2 	 0 	10 	P 	H 	0.0 	4.0 	13 	L 	Z 	0.0 	-2.0 	0
main	4 	Hubert 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	13 	Q 	W 	0.0 	-7.0 	0
main	5 	Hubert 	 T1T2 	 0 	10 	L 	Z 	0.0 	-1.0 	17 	M 	N 	0.0 	-9.0 	0
main	6 	Hubert 	 T1T2 	 0 	8 	Y 	Y 	1.0 	0.0 	11 	X 	W 	0.0 	2.0 	0
main	7 	Hubert 	 T1T2 	 0 	8 	V 	K 	0.0 	1.0 	9 	K 	G 	0.0 	-2.0 	0
main	8 	Hubert 	 T1T2 	 0 	10 	L 	L 	1.0 	0.0 	15 	Y 	N 	0.0 	1.0 	0
main	9 	Hubert 	 T1T2 	 0 	8 	P 	P 	1.0 	0.0 	15 	V 	Q 	0.0 	-9.0 	0
main	10 	Hubert 	 T1T2 	 0 	9 	M 	M 	1.0 	0.0 	16 	J 	L 	0.0 	-9.0 	0
main	11 	Hubert 	 T1T2 	 0 	9 	B 	T 	0.0 	1.0 	18 	U 	W 	0.0 	-1.0 	0
main	12 	Hubert 	 T1T2 	 0 	10 	L 	L 	1.0 	0.0 	19 	W 	W 	1.0 	0.0 	0
main	13 	Hubert 	 T1T2 	 0 	8 	U 	U 	1.0 	0.0 	17 	F 	F 	1.0 	0.0 	0
