experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	cyw 	 T1T2 	 0 	8 	Z 	L 	0.0 	14.0 	15 	N 	M 	0.0 	1.0 	0
main	1 	cyw 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	15 	B 	B 	1.0 	0.0 	0
main	2 	cyw 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	14 	Z 	Z 	1.0 	0.0 	0
main	3 	cyw 	 T1T2 	 0 	9 	J 	J 	1.0 	0.0 	18 	U 	U 	1.0 	0.0 	0
main	4 	cyw 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	17 	V 	E 	0.0 	-10.0 	0
main	5 	cyw 	 T1T2 	 0 	8 	P 	P 	1.0 	0.0 	11 	L 	E 	0.0 	-6.0 	0
main	6 	cyw 	 T1T2 	 0 	8 	H 	H 	1.0 	0.0 	9 	D 	D 	1.0 	0.0 	0
main	7 	cyw 	 T1T2 	 0 	10 	U 	U 	1.0 	0.0 	11 	Q 	R 	0.0 	-2.0 	0
main	8 	cyw 	 T1T2 	 0 	10 	J 	J 	1.0 	0.0 	19 	D 	D 	1.0 	0.0 	0
main	9 	cyw 	 T1T2 	 0 	10 	O 	S 	0.0 	1.0 	13 	D 	C 	0.0 	-1.0 	0
main	10 	cyw 	 T1T2 	 0 	9 	J 	J 	1.0 	0.0 	12 	V 	Z 	0.0 	-2.0 	0
main	11 	cyw 	 T1T2 	 0 	8 	T 	T 	1.0 	0.0 	13 	W 	W 	1.0 	0.0 	0
main	12 	cyw 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	16 	U 	U 	1.0 	0.0 	0
main	13 	cyw 	 T1T2 	 0 	9 	M 	M 	1.0 	0.0 	10 	R 	T 	0.0 	1.0 	0
main	14 	cyw 	 T1T2 	 0 	10 	R 	R 	1.0 	0.0 	17 	M 	M 	1.0 	0.0 	0
main	15 	cyw 	 T1T2 	 0 	10 	N 	N 	1.0 	0.0 	19 	T 	T 	1.0 	0.0 	0
main	16 	cyw 	 T1T2 	 0 	10 	V 	V 	1.0 	0.0 	15 	G 	G 	1.0 	0.0 	0
main	17 	cyw 	 T1T2 	 0 	9 	Q 	W 	0.0 	-1.0 	10 	B 	B 	1.0 	0.0 	0
main	18 	cyw 	 T1T2 	 0 	8 	W 	W 	1.0 	0.0 	17 	H 	H 	1.0 	0.0 	0
main	19 	cyw 	 T1T2 	 0 	9 	J 	J 	1.0 	0.0 	14 	D 	D 	1.0 	0.0 	0
main	20 	cyw 	 T1T2 	 0 	8 	Q 	Q 	1.0 	0.0 	13 	B 	B 	1.0 	0.0 	0
main	21 	cyw 	 T1T2 	 0 	9 	F 	F 	1.0 	0.0 	18 	P 	P 	1.0 	0.0 	0
main	22 	cyw 	 T1T2 	 0 	10 	C 	C 	1.0 	0.0 	11 	F 	G 	0.0 	7.0 	0
main	23 	cyw 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	13 	L 	L 	1.0 	0.0 	0
main	24 	cyw 	 T1T2 	 0 	8 	Z 	Z 	1.0 	0.0 	9 	L 	E 	0.0 	-9.0 	0
main	25 	cyw 	 T1T2 	 0 	9 	T 	T 	1.0 	0.0 	12 	G 	G 	1.0 	0.0 	0
main	26 	cyw 	 T1T2 	 0 	8 	L 	L 	1.0 	0.0 	15 	Y 	Y 	1.0 	0.0 	0
main	27 	cyw 	 T1T2 	 0 	8 	V 	V 	1.0 	0.0 	11 	K 	K 	1.0 	0.0 	0
main	28 	cyw 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	17 	Y 	Y 	1.0 	0.0 	0
main	29 	cyw 	 T1T2 	 0 	9 	Q 	Q 	1.0 	0.0 	16 	X 	X 	1.0 	0.0 	0
main	30 	cyw 	 T1T2 	 0 	8 	P 	P 	1.0 	0.0 	13 	D 	D 	1.0 	0.0 	0
main	31 	cyw 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	15 	S 	S 	1.0 	0.0 	0
main	32 	cyw 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	19 	T 	T 	1.0 	0.0 	0
main	33 	cyw 	 T1T2 	 0 	8 	O 	V 	0.0 	1.0 	17 	K 	K 	1.0 	0.0 	0
main	34 	cyw 	 T1T2 	 0 	9 	P 	P 	1.0 	0.0 	12 	K 	K 	1.0 	0.0 	0
main	35 	cyw 	 T1T2 	 0 	10 	Z 	Z 	1.0 	0.0 	17 	U 	U 	1.0 	0.0 	0
main	36 	cyw 	 T1T2 	 0 	9 	F 	F 	1.0 	0.0 	14 	A 	A 	1.0 	0.0 	0
main	37 	cyw 	 T1T2 	 0 	8 	I 	I 	1.0 	0.0 	15 	L 	L 	1.0 	0.0 	0
main	38 	cyw 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	9 	O 	U 	0.0 	1.0 	0
main	39 	cyw 	 T1T2 	 0 	9 	W 	W 	1.0 	0.0 	10 	P 	T 	0.0 	-6.0 	0
main	40 	cyw 	 T1T2 	 0 	9 	K 	K 	1.0 	0.0 	16 	E 	E 	1.0 	0.0 	0
main	41 	cyw 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	11 	N 	A 	0.0 	5.0 	0
main	42 	cyw 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	13 	P 	R 	0.0 	-2.0 	0
main	43 	cyw 	 T1T2 	 0 	9 	G 	G 	1.0 	0.0 	18 	K 	W 	0.0 	-1.0 	0
main	44 	cyw 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	11 	S 	K 	0.0 	1.0 	0
main	45 	cyw 	 T1T2 	 0 	9 	H 	H 	1.0 	0.0 	10 	J 	B 	0.0 	7.0 	0
