experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	dxy 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	19 	L 	L 	1.0 	0.0 	0
main	1 	dxy 	 T1T2 	 0 	9 	L 	I 	0.0 	-2.0 	14 	V 	H 	0.0 	1.0 	0
main	2 	dxy 	 T1T2 	 0 	9 	V 	L 	0.0 	-1.0 	16 	B 	B 	1.0 	0.0 	0
main	3 	dxy 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	13 	L 	L 	1.0 	0.0 	0
main	4 	dxy 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	15 	D 	D 	1.0 	0.0 	0
main	5 	dxy 	 T1T2 	 0 	9 	T 	U 	0.0 	-1.0 	10 	Z 	T 	0.0 	-1.0 	0
main	6 	dxy 	 T1T2 	 0 	9 	Q 	Q 	1.0 	0.0 	12 	K 	O 	0.0 	12.0 	0
main	7 	dxy 	 T1T2 	 0 	8 	U 	U 	1.0 	0.0 	11 	O 	W 	0.0 	-4.0 	0
main	8 	dxy 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	11 	H 	W 	0.0 	-2.0 	0
main	9 	dxy 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	9 	J 	J 	1.0 	0.0 	0
main	10 	dxy 	 T1T2 	 0 	8 	F 	U 	0.0 	-1.0 	17 	D 	D 	1.0 	0.0 	0
main	11 	dxy 	 T1T2 	 0 	8 	V 	X 	0.0 	-1.0 	13 	Z 	J 	0.0 	-4.0 	0
main	12 	dxy 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	17 	I 	F 	0.0 	-7.0 	0
main	13 	dxy 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	15 	M 	M 	1.0 	0.0 	0
main	14 	dxy 	 T1T2 	 0 	9 	O 	O 	1.0 	0.0 	18 	Q 	Q 	1.0 	0.0 	0
main	15 	dxy 	 T1T2 	 0 	10 	H 	I 	0.0 	10.0 	11 	W 	W 	1.0 	0.0 	0
main	16 	dxy 	 T1T2 	 0 	9 	D 	D 	1.0 	0.0 	10 	C 	Q 	0.0 	-2.0 	0
main	17 	dxy 	 T1T2 	 0 	9 	F 	F 	1.0 	0.0 	18 	L 	L 	1.0 	0.0 	0
main	18 	dxy 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	16 	U 	U 	1.0 	0.0 	0
main	19 	dxy 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	17 	C 	D 	0.0 	1.0 	0
main	20 	dxy 	 T1T2 	 0 	9 	V 	V 	1.0 	0.0 	12 	B 	M 	0.0 	1.0 	0
main	21 	dxy 	 T1T2 	 0 	10 	T 	T 	1.0 	0.0 	19 	G 	G 	1.0 	0.0 	0
main	22 	dxy 	 T1T2 	 0 	8 	S 	S 	1.0 	0.0 	11 	C 	R 	0.0 	-4.0 	0
main	23 	dxy 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	13 	N 	Q 	0.0 	-4.0 	0
main	24 	dxy 	 T1T2 	 0 	8 	Y 	Y 	1.0 	0.0 	9 	H 	M 	0.0 	-2.0 	0
main	25 	dxy 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	15 	J 	Y 	0.0 	-4.0 	0
main	26 	dxy 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	15 	X 	X 	1.0 	0.0 	0
main	27 	dxy 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	13 	E 	W 	0.0 	-6.0 	0
main	28 	dxy 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	14 	R 	H 	0.0 	1.0 	0
main	29 	dxy 	 T1T2 	 0 	8 	T 	T 	1.0 	0.0 	17 	M 	M 	1.0 	0.0 	0
main	30 	dxy 	 T1T2 	 0 	8 	N 	N 	1.0 	0.0 	11 	D 	O 	0.0 	8.0 	0
main	31 	dxy 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	9 	Y 	Y 	1.0 	0.0 	0
main	32 	dxy 	 T1T2 	 0 	9 	O 	O 	1.0 	0.0 	16 	V 	V 	1.0 	0.0 	0
main	33 	dxy 	 T1T2 	 0 	9 	Q 	Q 	1.0 	0.0 	18 	V 	V 	1.0 	0.0 	0
