experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	dzq 	 T1T2 	 0 	8 	T 	T 	1.0 	0.0 	11 	Z 	Z 	1.0 	0.0 	0
main	1 	dzq 	 T1T2 	 0 	8 	L 	L 	1.0 	0.0 	17 	W 	W 	1.0 	0.0 	0
main	2 	dzq 	 T1T2 	 0 	10 	G 	G 	1.0 	0.0 	19 	H 	X 	0.0 	1.0 	0
main	3 	dzq 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	15 	T 	T 	1.0 	0.0 	0
main	4 	dzq 	 T1T2 	 0 	9 	Z 	Z 	1.0 	0.0 	10 	V 	H 	0.0 	-2.0 	0
main	5 	dzq 	 T1T2 	 0 	9 	C 	R 	0.0 	1.0 	14 	W 	A 	0.0 	1.0 	0
main	6 	dzq 	 T1T2 	 0 	8 	G 	G 	1.0 	0.0 	9 	W 	Z 	0.0 	6.0 	0
main	7 	dzq 	 T1T2 	 0 	10 	L 	B 	0.0 	1.0 	13 	H 	N 	0.0 	1.0 	0
main	8 	dzq 	 T1T2 	 0 	9 	I 	A 	0.0 	1.0 	12 	H 	K 	0.0 	2.0 	0
main	9 	dzq 	 T1T2 	 0 	9 	P 	R 	0.0 	15.0 	18 	S 	S 	1.0 	0.0 	0
main	10 	dzq 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	11 	A 	U 	0.0 	-5.0 	0
main	11 	dzq 	 T1T2 	 0 	9 	F 	F 	1.0 	0.0 	16 	O 	S 	0.0 	-1.0 	0
main	12 	dzq 	 T1T2 	 0 	8 	J 	U 	0.0 	3.0 	13 	C 	A 	0.0 	2.0 	0
main	13 	dzq 	 T1T2 	 0 	8 	U 	U 	1.0 	0.0 	15 	H 	R 	0.0 	1.0 	0
main	14 	dzq 	 T1T2 	 0 	10 	L 	L 	1.0 	0.0 	17 	H 	F 	0.0 	1.0 	0
main	15 	dzq 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	15 	W 	U 	0.0 	1.0 	0
main	16 	dzq 	 T1T2 	 0 	9 	H 	W 	0.0 	1.0 	10 	W 	A 	0.0 	9.0 	0
main	17 	dzq 	 T1T2 	 0 	10 	B 	B 	1.0 	0.0 	11 	I 	Z 	0.0 	4.0 	0
main	18 	dzq 	 T1T2 	 0 	9 	L 	L 	1.0 	0.0 	16 	E 	M 	0.0 	2.0 	0
main	19 	dzq 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	19 	I 	K 	0.0 	-1.0 	0
main	20 	dzq 	 T1T2 	 0 	8 	I 	T 	0.0 	-1.0 	15 	Z 	Z 	1.0 	0.0 	0
main	21 	dzq 	 T1T2 	 0 	8 	L 	L 	1.0 	0.0 	13 	U 	H 	0.0 	1.0 	0
main	22 	dzq 	 T1T2 	 0 	10 	D 	D 	1.0 	0.0 	13 	K 	A 	0.0 	2.0 	0
