experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	ymm 	 T1T2 	 0 	9 	K 	K 	1.0 	0.0 	10 	N 	M 	0.0 	5.0 	0
main	1 	ymm 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	19 	O 	H 	0.0 	1.0 	0
main	2 	ymm 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	9 	O 	P 	0.0 	8.0 	0
main	3 	ymm 	 T1T2 	 0 	10 	U 	L 	0.0 	-1.0 	15 	F 	F 	1.0 	0.0 	0
main	4 	ymm 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	17 	X 	X 	1.0 	0.0 	0
main	5 	ymm 	 T1T2 	 0 	8 	I 	Y 	0.0 	1.0 	11 	S 	B 	0.0 	1.0 	0
main	6 	ymm 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	11 	G 	M 	0.0 	9.0 	0
main	7 	ymm 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	13 	U 	Z 	0.0 	1.0 	0
main	8 	ymm 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	15 	L 	N 	0.0 	1.0 	0
main	9 	ymm 	 T1T2 	 0 	9 	M 	M 	1.0 	0.0 	16 	G 	G 	1.0 	0.0 	0
main	10 	ymm 	 T1T2 	 0 	10 	T 	T 	1.0 	0.0 	13 	C 	S 	0.0 	-10.0 	0
main	11 	ymm 	 T1T2 	 0 	9 	M 	M 	1.0 	0.0 	14 	E 	Y 	0.0 	1.0 	0
main	12 	ymm 	 T1T2 	 0 	10 	Z 	Z 	1.0 	0.0 	17 	F 	F 	1.0 	0.0 	0
main	13 	ymm 	 T1T2 	 0 	9 	Z 	H 	0.0 	1.0 	18 	J 	J 	1.0 	0.0 	0
main	14 	ymm 	 T1T2 	 0 	9 	H 	Y 	0.0 	1.0 	12 	Q 	Q 	1.0 	0.0 	0
main	15 	ymm 	 T1T2 	 0 	10 	H 	H 	1.0 	0.0 	13 	R 	R 	1.0 	0.0 	0
main	16 	ymm 	 T1T2 	 0 	9 	Z 	Z 	1.0 	0.0 	18 	T 	T 	1.0 	0.0 	0
main	17 	ymm 	 T1T2 	 0 	10 	J 	J 	1.0 	0.0 	15 	Z 	Z 	1.0 	0.0 	0
main	18 	ymm 	 T1T2 	 0 	8 	U 	J 	0.0 	-1.0 	13 	F 	F 	1.0 	0.0 	0
main	19 	ymm 	 T1T2 	 0 	8 	A 	M 	0.0 	-3.0 	15 	N 	K 	0.0 	6.0 	0
main	20 	ymm 	 T1T2 	 0 	8 	D 	A 	0.0 	1.0 	9 	A 	R 	0.0 	2.0 	0
main	21 	ymm 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	11 	T 	R 	0.0 	-4.0 	0
main	22 	ymm 	 T1T2 	 0 	10 	T 	T 	1.0 	0.0 	17 	I 	V 	0.0 	1.0 	0
main	23 	ymm 	 T1T2 	 0 	8 	H 	M 	0.0 	-1.0 	17 	S 	S 	1.0 	0.0 	0
main	24 	ymm 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	19 	U 	D 	0.0 	1.0 	0
main	25 	ymm 	 T1T2 	 0 	9 	O 	O 	1.0 	0.0 	16 	N 	F 	0.0 	1.0 	0
main	26 	ymm 	 T1T2 	 0 	9 	M 	M 	1.0 	0.0 	10 	Y 	R 	0.0 	4.0 	0
main	27 	ymm 	 T1T2 	 0 	10 	P 	R 	0.0 	3.0 	11 	U 	P 	0.0 	-1.0 	0
main	28 	ymm 	 T1T2 	 0 	9 	W 	W 	1.0 	0.0 	14 	F 	F 	1.0 	0.0 	0
main	29 	ymm 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	12 	S 	T 	0.0 	4.0 	0
main	30 	ymm 	 T1T2 	 0 	8 	R 	R 	1.0 	0.0 	17 	Z 	S 	0.0 	2.0 	0
main	31 	ymm 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	13 	X 	R 	0.0 	2.0 	0
main	32 	ymm 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	10 	Z 	Z 	1.0 	0.0 	0
main	33 	ymm 	 T1T2 	 0 	8 	Q 	Q 	1.0 	0.0 	13 	N 	H 	0.0 	-4.0 	0
main	34 	ymm 	 T1T2 	 0 	10 	N 	N 	1.0 	0.0 	17 	F 	F 	1.0 	0.0 	0
main	35 	ymm 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	15 	B 	B 	1.0 	0.0 	0
main	36 	ymm 	 T1T2 	 0 	9 	B 	K 	0.0 	-1.0 	18 	G 	G 	1.0 	0.0 	0
main	37 	ymm 	 T1T2 	 0 	9 	S 	S 	1.0 	0.0 	16 	X 	P 	0.0 	-5.0 	0
main	38 	ymm 	 T1T2 	 0 	10 	Q 	Q 	1.0 	0.0 	11 	J 	R 	0.0 	3.0 	0
main	39 	ymm 	 T1T2 	 0 	10 	U 	R 	0.0 	-9.0 	19 	M 	M 	1.0 	0.0 	0
main	40 	ymm 	 T1T2 	 0 	9 	T 	Y 	0.0 	1.0 	12 	D 	M 	0.0 	2.0 	0
main	41 	ymm 	 T1T2 	 0 	10 	V 	V 	1.0 	0.0 	15 	E 	L 	0.0 	-6.0 	0
main	42 	ymm 	 T1T2 	 0 	8 	L 	L 	1.0 	0.0 	9 	E 	K 	0.0 	1.0 	0
main	43 	ymm 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	14 	Y 	B 	0.0 	1.0 	0
main	44 	ymm 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	11 	H 	F 	0.0 	-2.0 	0
main	45 	ymm 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	9 	U 	F 	0.0 	-1.0 	0
main	46 	ymm 	 T1T2 	 0 	8 	P 	D 	0.0 	-1.0 	15 	C 	P 	0.0 	-7.0 	0
main	47 	ymm 	 T1T2 	 0 	9 	J 	J 	1.0 	0.0 	12 	U 	M 	0.0 	2.0 	0
main	48 	ymm 	 T1T2 	 0 	10 	Q 	Q 	1.0 	0.0 	15 	L 	R 	0.0 	-4.0 	0
main	49 	ymm 	 T1T2 	 0 	9 	D 	U 	0.0 	1.0 	14 	E 	Q 	0.0 	1.0 	0
main	50 	ymm 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	16 	R 	R 	1.0 	0.0 	0
main	51 	ymm 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	11 	F 	A 	0.0 	-1.0 	0
main	52 	ymm 	 T1T2 	 0 	10 	L 	L 	1.0 	0.0 	13 	Q 	Q 	1.0 	0.0 	0
main	53 	ymm 	 T1T2 	 0 	10 	R 	R 	1.0 	0.0 	17 	J 	Y 	0.0 	1.0 	0
main	54 	ymm 	 T1T2 	 0 	9 	X 	W 	0.0 	-1.0 	10 	M 	M 	1.0 	0.0 	0
main	55 	ymm 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	19 	B 	B 	1.0 	0.0 	0
main	56 	ymm 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	13 	V 	V 	1.0 	0.0 	0
main	57 	ymm 	 T1T2 	 0 	9 	D 	D 	1.0 	0.0 	18 	R 	R 	1.0 	0.0 	0
main	58 	ymm 	 T1T2 	 0 	8 	V 	V 	1.0 	0.0 	17 	L 	W 	0.0 	1.0 	0
