experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	ym 	 T1T2 	 0 	10 	G 	R 	0.0 	-2.0 	11 	Y 	G 	0.0 	-1.0 	0
main	1 	ym 	 T1T2 	 0 	8 	Q 	Q 	1.0 	0.0 	13 	O 	W 	0.0 	6.0 	0
main	2 	ym 	 T1T2 	 0 	9 	N 	M 	0.0 	1.0 	10 	M 	N 	0.0 	-1.0 	0
main	3 	ym 	 T1T2 	 0 	9 	Z 	J 	0.0 	1.0 	14 	H 	H 	1.0 	0.0 	0
main	4 	ym 	 T1T2 	 0 	8 	U 	W 	0.0 	1.0 	9 	W 	S 	0.0 	8.0 	0
main	5 	ym 	 T1T2 	 0 	8 	F 	F 	1.0 	0.0 	11 	R 	W 	0.0 	-2.0 	0
main	6 	ym 	 T1T2 	 0 	10 	K 	K 	1.0 	0.0 	17 	Y 	X 	0.0 	1.0 	0
main	7 	ym 	 T1T2 	 0 	10 	H 	H 	1.0 	0.0 	19 	Q 	Q 	1.0 	0.0 	0
main	8 	ym 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	15 	Y 	Y 	1.0 	0.0 	0
main	9 	ym 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	13 	D 	T 	0.0 	-2.0 	0
main	10 	ym 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	15 	W 	W 	1.0 	0.0 	0
main	11 	ym 	 T1T2 	 0 	9 	H 	H 	1.0 	0.0 	18 	T 	T 	1.0 	0.0 	0
main	12 	ym 	 T1T2 	 0 	9 	N 	N 	1.0 	0.0 	16 	I 	Y 	0.0 	1.0 	0
main	13 	ym 	 T1T2 	 0 	8 	L 	L 	1.0 	0.0 	17 	N 	Z 	0.0 	1.0 	0
main	14 	ym 	 T1T2 	 0 	9 	H 	H 	1.0 	0.0 	12 	E 	B 	0.0 	1.0 	0
main	15 	ym 	 T1T2 	 0 	8 	H 	H 	1.0 	0.0 	15 	D 	M 	0.0 	1.0 	0
main	16 	ym 	 T1T2 	 0 	10 	B 	B 	1.0 	0.0 	13 	N 	S 	0.0 	-2.0 	0
main	17 	ym 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	15 	T 	T 	1.0 	0.0 	0
main	18 	ym 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	19 	S 	S 	1.0 	0.0 	0
main	19 	ym 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	10 	G 	G 	1.0 	0.0 	0
main	20 	ym 	 T1T2 	 0 	10 	K 	K 	1.0 	0.0 	17 	W 	W 	1.0 	0.0 	0
main	21 	ym 	 T1T2 	 0 	10 	D 	D 	1.0 	0.0 	11 	H 	H 	1.0 	0.0 	0
main	22 	ym 	 T1T2 	 0 	8 	V 	V 	1.0 	0.0 	11 	N 	F 	0.0 	2.0 	0
main	23 	ym 	 T1T2 	 0 	9 	O 	D 	0.0 	-1.0 	18 	R 	R 	1.0 	0.0 	0
main	24 	ym 	 T1T2 	 0 	8 	N 	D 	0.0 	-2.0 	9 	A 	V 	0.0 	-8.0 	0
main	25 	ym 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	12 	M 	M 	1.0 	0.0 	0
main	26 	ym 	 T1T2 	 0 	9 	V 	J 	0.0 	1.0 	14 	L 	K 	0.0 	1.0 	0
main	27 	ym 	 T1T2 	 0 	9 	Q 	Q 	1.0 	0.0 	16 	O 	R 	0.0 	1.0 	0
main	28 	ym 	 T1T2 	 0 	8 	Q 	Q 	1.0 	0.0 	13 	S 	S 	1.0 	0.0 	0
main	29 	ym 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	17 	I 	I 	1.0 	0.0 	0
main	30 	ym 	 T1T2 	 0 	8 	N 	M 	0.0 	-1.0 	15 	S 	S 	1.0 	0.0 	0
main	31 	ym 	 T1T2 	 0 	8 	G 	G 	1.0 	0.0 	11 	I 	G 	0.0 	-3.0 	0
main	32 	ym 	 T1T2 	 0 	10 	H 	V 	0.0 	1.0 	17 	K 	K 	1.0 	0.0 	0
main	33 	ym 	 T1T2 	 0 	8 	W 	W 	1.0 	0.0 	9 	Q 	W 	0.0 	-1.0 	0
main	34 	ym 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	11 	U 	K 	0.0 	8.0 	0
main	35 	ym 	 T1T2 	 0 	9 	G 	G 	1.0 	0.0 	12 	C 	J 	0.0 	-2.0 	0
main	36 	ym 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	14 	Z 	F 	0.0 	2.0 	0
main	37 	ym 	 T1T2 	 0 	9 	G 	F 	0.0 	1.0 	10 	F 	G 	0.0 	-1.0 	0
main	38 	ym 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	13 	V 	K 	0.0 	12.0 	0
main	39 	ym 	 T1T2 	 0 	10 	E 	F 	0.0 	-2.0 	19 	C 	K 	0.0 	1.0 	0
main	40 	ym 	 T1T2 	 0 	8 	V 	Y 	0.0 	-1.0 	17 	K 	K 	1.0 	0.0 	0
main	41 	ym 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	16 	Y 	Y 	1.0 	0.0 	0
main	42 	ym 	 T1T2 	 0 	9 	O 	S 	0.0 	1.0 	18 	T 	T 	1.0 	0.0 	0
main	43 	ym 	 T1T2 	 0 	10 	G 	G 	1.0 	0.0 	13 	W 	W 	1.0 	0.0 	0
main	44 	ym 	 T1T2 	 0 	10 	X 	Z 	0.0 	1.0 	15 	Y 	Y 	1.0 	0.0 	0
main	45 	ym 	 T1T2 	 0 	9 	C 	N 	0.0 	1.0 	16 	E 	F 	0.0 	1.0 	0
main	46 	ym 	 T1T2 	 0 	10 	C 	J 	0.0 	-1.0 	11 	H 	L 	0.0 	5.0 	0
main	47 	ym 	 T1T2 	 0 	9 	P 	P 	1.0 	0.0 	12 	W 	M 	0.0 	1.0 	0
main	48 	ym 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	15 	T 	T 	1.0 	0.0 	0
main	49 	ym 	 T1T2 	 0 	8 	O 	S 	0.0 	1.0 	11 	A 	R 	0.0 	-9.0 	0
main	50 	ym 	 T1T2 	 0 	8 	C 	C 	1.0 	0.0 	9 	E 	C 	0.0 	-1.0 	0
main	51 	ym 	 T1T2 	 0 	10 	N 	F 	0.0 	1.0 	13 	I 	K 	0.0 	-1.0 	0
main	52 	ym 	 T1T2 	 0 	9 	Q 	Q 	1.0 	0.0 	18 	G 	G 	1.0 	0.0 	0
