experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	yyq 	 T1T2 	 0 	8 	O 	O 	1.0 	0.0 	9 	V 	K 	0.0 	3.0 	0
main	1 	yyq 	 T1T2 	 0 	9 	E 	E 	1.0 	0.0 	10 	Y 	Y 	1.0 	0.0 	0
main	2 	yyq 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	16 	E 	E 	1.0 	0.0 	0
main	3 	yyq 	 T1T2 	 0 	10 	V 	H 	0.0 	2.0 	17 	S 	S 	1.0 	0.0 	0
main	4 	yyq 	 T1T2 	 0 	10 	R 	R 	1.0 	0.0 	15 	N 	D 	0.0 	1.0 	0
main	5 	yyq 	 T1T2 	 0 	9 	P 	P 	1.0 	0.0 	14 	W 	M 	0.0 	1.0 	0
main	6 	yyq 	 T1T2 	 0 	10 	Z 	Z 	1.0 	0.0 	13 	O 	E 	0.0 	-2.0 	0
main	7 	yyq 	 T1T2 	 0 	8 	G 	R 	0.0 	1.0 	17 	A 	M 	0.0 	1.0 	0
main	8 	yyq 	 T1T2 	 0 	10 	Q 	Q 	1.0 	0.0 	11 	J 	J 	1.0 	0.0 	0
main	9 	yyq 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	13 	M 	M 	1.0 	0.0 	0
main	10 	yyq 	 T1T2 	 0 	9 	J 	J 	1.0 	0.0 	12 	C 	D 	0.0 	-2.0 	0
main	11 	yyq 	 T1T2 	 0 	8 	V 	K 	0.0 	1.0 	11 	G 	A 	0.0 	-4.0 	0
main	12 	yyq 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	15 	P 	P 	1.0 	0.0 	0
main	13 	yyq 	 T1T2 	 0 	9 	V 	F 	0.0 	1.0 	18 	B 	B 	1.0 	0.0 	0
main	14 	yyq 	 T1T2 	 0 	10 	E 	E 	1.0 	0.0 	19 	M 	M 	1.0 	0.0 	0
main	15 	yyq 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	13 	C 	C 	1.0 	0.0 	0
main	16 	yyq 	 T1T2 	 0 	10 	C 	C 	1.0 	0.0 	15 	J 	V 	0.0 	-4.0 	0
main	17 	yyq 	 T1T2 	 0 	10 	Q 	B 	0.0 	-1.0 	11 	F 	Q 	0.0 	-1.0 	0
main	18 	yyq 	 T1T2 	 0 	9 	N 	N 	1.0 	0.0 	18 	O 	O 	1.0 	0.0 	0
main	19 	yyq 	 T1T2 	 0 	10 	Z 	Z 	1.0 	0.0 	17 	R 	R 	1.0 	0.0 	0
main	20 	yyq 	 T1T2 	 0 	9 	I 	I 	1.0 	0.0 	10 	E 	E 	1.0 	0.0 	0
main	21 	yyq 	 T1T2 	 0 	8 	H 	V 	0.0 	1.0 	9 	V 	H 	0.0 	-1.0 	0
main	22 	yyq 	 T1T2 	 0 	9 	S 	S 	1.0 	0.0 	14 	G 	G 	1.0 	0.0 	0
main	23 	yyq 	 T1T2 	 0 	9 	X 	X 	1.0 	0.0 	12 	I 	I 	1.0 	0.0 	0
main	24 	yyq 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	13 	U 	E 	0.0 	-4.0 	0
main	25 	yyq 	 T1T2 	 0 	10 	L 	I 	0.0 	6.0 	19 	A 	H 	0.0 	-10.0 	0
main	26 	yyq 	 T1T2 	 0 	8 	C 	C 	1.0 	0.0 	15 	J 	J 	1.0 	0.0 	0
main	27 	yyq 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	17 	X 	X 	1.0 	0.0 	0
main	28 	yyq 	 T1T2 	 0 	8 	Q 	D 	0.0 	1.0 	11 	P 	Q 	0.0 	-3.0 	0
main	29 	yyq 	 T1T2 	 0 	9 	D 	D 	1.0 	0.0 	16 	I 	I 	1.0 	0.0 	0
main	30 	yyq 	 T1T2 	 0 	8 	G 	G 	1.0 	0.0 	11 	Y 	I 	0.0 	-2.0 	0
main	31 	yyq 	 T1T2 	 0 	9 	A 	A 	1.0 	0.0 	12 	D 	W 	0.0 	1.0 	0
main	32 	yyq 	 T1T2 	 0 	9 	U 	S 	0.0 	1.0 	16 	W 	U 	0.0 	-7.0 	0
main	33 	yyq 	 T1T2 	 0 	10 	K 	K 	1.0 	0.0 	19 	H 	H 	1.0 	0.0 	0
main	34 	yyq 	 T1T2 	 0 	9 	S 	S 	1.0 	0.0 	18 	X 	X 	1.0 	0.0 	0
main	35 	yyq 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	9 	N 	G 	0.0 	5.0 	0
main	36 	yyq 	 T1T2 	 0 	10 	G 	S 	0.0 	1.0 	15 	J 	J 	1.0 	0.0 	0
main	37 	yyq 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	17 	S 	S 	1.0 	0.0 	0
main	38 	yyq 	 T1T2 	 0 	10 	T 	T 	1.0 	0.0 	11 	L 	H 	0.0 	12.0 	0
main	39 	yyq 	 T1T2 	 0 	9 	Y 	F 	0.0 	1.0 	14 	N 	X 	0.0 	1.0 	0
main	40 	yyq 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	15 	N 	N 	1.0 	0.0 	0
main	41 	yyq 	 T1T2 	 0 	8 	N 	H 	0.0 	1.0 	13 	V 	F 	0.0 	-6.0 	0
