experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	zty 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	16 	H 	H 	1.0 	0.0 	0
main	1 	zty 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	14 	D 	Q 	0.0 	1.0 	0
main	2 	zty 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	11 	R 	H 	0.0 	-8.0 	0
main	3 	zty 	 T1T2 	 0 	8 	D 	D 	1.0 	0.0 	15 	C 	C 	1.0 	0.0 	0
main	4 	zty 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	15 	W 	E 	0.0 	1.0 	0
main	5 	zty 	 T1T2 	 0 	8 	X 	X 	1.0 	0.0 	13 	E 	E 	1.0 	0.0 	0
main	6 	zty 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	17 	V 	Z 	0.0 	1.0 	0
main	7 	zty 	 T1T2 	 0 	10 	J 	J 	1.0 	0.0 	13 	V 	Z 	0.0 	1.0 	0
main	8 	zty 	 T1T2 	 0 	10 	Q 	G 	0.0 	8.0 	11 	U 	U 	1.0 	0.0 	0
main	9 	zty 	 T1T2 	 0 	10 	C 	C 	1.0 	0.0 	17 	E 	E 	1.0 	0.0 	0
main	10 	zty 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	18 	I 	I 	1.0 	0.0 	0
main	11 	zty 	 T1T2 	 0 	9 	B 	B 	1.0 	0.0 	12 	V 	R 	0.0 	-8.0 	0
main	12 	zty 	 T1T2 	 0 	9 	T 	T 	1.0 	0.0 	10 	X 	X 	1.0 	0.0 	0
main	13 	zty 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	19 	N 	N 	1.0 	0.0 	0
main	14 	zty 	 T1T2 	 0 	8 	M 	M 	1.0 	0.0 	9 	A 	I 	0.0 	-7.0 	0
main	15 	zty 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	19 	T 	T 	1.0 	0.0 	0
main	16 	zty 	 T1T2 	 0 	9 	D 	N 	0.0 	1.0 	16 	V 	V 	1.0 	0.0 	0
main	17 	zty 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	9 	S 	R 	0.0 	8.0 	0
main	18 	zty 	 T1T2 	 0 	10 	C 	C 	1.0 	0.0 	17 	U 	U 	1.0 	0.0 	0
main	19 	zty 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	13 	D 	D 	1.0 	0.0 	0
main	20 	zty 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	15 	T 	T 	1.0 	0.0 	0
main	21 	zty 	 T1T2 	 0 	9 	U 	U 	1.0 	0.0 	10 	C 	I 	0.0 	10.0 	0
main	22 	zty 	 T1T2 	 0 	9 	Z 	Z 	1.0 	0.0 	12 	T 	T 	1.0 	0.0 	0
main	23 	zty 	 T1T2 	 0 	8 	N 	N 	1.0 	0.0 	11 	A 	V 	0.0 	-10.0 	0
main	24 	zty 	 T1T2 	 0 	10 	I 	I 	1.0 	0.0 	15 	S 	S 	1.0 	0.0 	0
main	25 	zty 	 T1T2 	 0 	10 	F 	F 	1.0 	0.0 	11 	R 	D 	0.0 	9.0 	0
main	26 	zty 	 T1T2 	 0 	9 	A 	A 	1.0 	0.0 	14 	Q 	Q 	1.0 	0.0 	0
main	27 	zty 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	17 	V 	V 	1.0 	0.0 	0
main	28 	zty 	 T1T2 	 0 	10 	V 	T 	0.0 	1.0 	13 	J 	I 	0.0 	3.0 	0
main	29 	zty 	 T1T2 	 0 	9 	N 	N 	1.0 	0.0 	18 	I 	I 	1.0 	0.0 	0
main	30 	zty 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	13 	H 	W 	0.0 	4.0 	0
main	31 	zty 	 T1T2 	 0 	10 	Y 	Y 	1.0 	0.0 	15 	K 	K 	1.0 	0.0 	0
main	32 	zty 	 T1T2 	 0 	9 	D 	D 	1.0 	0.0 	16 	H 	V 	0.0 	1.0 	0
main	33 	zty 	 T1T2 	 0 	8 	E 	E 	1.0 	0.0 	15 	V 	V 	1.0 	0.0 	0
main	34 	zty 	 T1T2 	 0 	10 	I 	I 	1.0 	0.0 	19 	T 	T 	1.0 	0.0 	0
main	35 	zty 	 T1T2 	 0 	8 	K 	K 	1.0 	0.0 	17 	C 	C 	1.0 	0.0 	0
main	36 	zty 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	12 	J 	O 	0.0 	10.0 	0
main	37 	zty 	 T1T2 	 0 	9 	L 	L 	1.0 	0.0 	10 	X 	X 	1.0 	0.0 	0
main	38 	zty 	 T1T2 	 0 	8 	U 	M 	0.0 	1.0 	11 	T 	T 	1.0 	0.0 	0
main	39 	zty 	 T1T2 	 0 	10 	I 	I 	1.0 	0.0 	11 	R 	T 	0.0 	10.0 	0
main	40 	zty 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	17 	K 	K 	1.0 	0.0 	0
main	41 	zty 	 T1T2 	 0 	9 	W 	W 	1.0 	0.0 	18 	E 	E 	1.0 	0.0 	0
main	42 	zty 	 T1T2 	 0 	8 	E 	E 	1.0 	0.0 	9 	Y 	F 	0.0 	7.0 	0
main	43 	zty 	 T1T2 	 0 	9 	P 	P 	1.0 	0.0 	14 	G 	G 	1.0 	0.0 	0
main	44 	zty 	 T1T2 	 0 	8 	H 	N 	0.0 	1.0 	13 	G 	H 	0.0 	-5.0 	0
main	45 	zty 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	13 	I 	I 	1.0 	0.0 	0
