experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	100_34_c 	 T1T2 	 0 	6 	G 	G 	1.0 	0.0 	16 	A 	B 	0.0 	1.0 	0
main	1 	100_34_c 	 T1T2 	 0 	10 	O 	O 	1.0 	0.0 	18 	A 	A 	1.0 	0.0 	0
main	2 	100_34_c 	 T1T2 	 0 	10 	N 	H 	0.0 	-1.0 	15 	M 	W 	0.0 	-4.0 	0
main	3 	100_34_c 	 T1T2 	 0 	10 	I 	I 	1.0 	0.0 	20 	M 	M 	1.0 	0.0 	0
main	4 	100_34_c 	 T1T2 	 0 	10 	O 	A 	0.0 	1.0 	11 	A 	G 	0.0 	-2.0 	0
main	5 	100_34_c 	 T1T2 	 0 	8 	R 	R 	1.0 	0.0 	9 	Y 	X 	0.0 	1.0 	0
main	6 	100_34_c 	 T1T2 	 0 	6 	H 	H 	1.0 	0.0 	11 	W 	W 	1.0 	0.0 	0
main	7 	100_34_c 	 T1T2 	 0 	6 	V 	A 	0.0 	-1.0 	8 	C 	V 	0.0 	-2.0 	0
main	8 	100_34_c 	 T1T2 	 0 	8 	D 	D 	1.0 	0.0 	10 	H 	O 	0.0 	-1.0 	0
main	9 	100_34_c 	 T1T2 	 0 	6 	E 	E 	1.0 	0.0 	7 	F 	F 	1.0 	0.0 	0
main	10 	100_34_c 	 T1T2 	 0 	8 	O 	I 	0.0 	17.0 	13 	S 	S 	1.0 	0.0 	0
main	11 	100_34_c 	 T1T2 	 0 	10 	U 	U 	1.0 	0.0 	12 	O 	V 	0.0 	-1.0 	0
main	12 	100_34_c 	 T1T2 	 0 	8 	V 	K 	0.0 	1.0 	16 	O 	O 	1.0 	0.0 	0
main	13 	100_34_c 	 T1T2 	 0 	8 	H 	H 	1.0 	0.0 	18 	Q 	Q 	1.0 	0.0 	0
main	14 	100_34_c 	 T1T2 	 0 	6 	K 	K 	1.0 	0.0 	14 	D 	D 	1.0 	0.0 	0
main	15 	100_34_c 	 T1T2 	 0 	6 	S 	S 	1.0 	0.0 	7 	R 	R 	1.0 	0.0 	0
main	16 	100_34_c 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	12 	V 	K 	0.0 	-1.0 	0
main	17 	100_34_c 	 T1T2 	 0 	6 	U 	M 	0.0 	1.0 	8 	T 	U 	0.0 	-2.0 	0
main	18 	100_34_c 	 T1T2 	 0 	6 	B 	B 	1.0 	0.0 	14 	T 	T 	1.0 	0.0 	0
main	19 	100_34_c 	 T1T2 	 0 	8 	T 	T 	1.0 	0.0 	9 	D 	D 	1.0 	0.0 	0
main	20 	100_34_c 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	18 	F 	F 	1.0 	0.0 	0
main	21 	100_34_c 	 T1T2 	 0 	8 	Y 	P 	0.0 	-1.0 	13 	V 	V 	1.0 	0.0 	0
main	22 	100_34_c 	 T1T2 	 0 	8 	D 	A 	0.0 	1.0 	10 	H 	D 	0.0 	-2.0 	0
main	23 	100_34_c 	 T1T2 	 0 	8 	Z 	Z 	1.0 	0.0 	16 	A 	A 	1.0 	0.0 	0
main	24 	100_34_c 	 T1T2 	 0 	6 	H 	H 	1.0 	0.0 	11 	O 	C 	0.0 	1.0 	0
main	25 	100_34_c 	 T1T2 	 0 	10 	H 	H 	1.0 	0.0 	15 	L 	K 	0.0 	2.0 	0
main	26 	100_34_c 	 T1T2 	 0 	6 	V 	V 	1.0 	0.0 	16 	L 	D 	0.0 	1.0 	0
main	27 	100_34_c 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	11 	D 	O 	0.0 	14.0 	0
main	28 	100_34_c 	 T1T2 	 0 	8 	J 	J 	1.0 	0.0 	18 	T 	T 	1.0 	0.0 	0
main	29 	100_34_c 	 T1T2 	 0 	10 	B 	B 	1.0 	0.0 	20 	P 	P 	1.0 	0.0 	0
main	30 	100_34_c 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	10 	N 	W 	0.0 	1.0 	0
main	31 	100_34_c 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	12 	L 	A 	0.0 	-1.0 	0
main	32 	100_34_c 	 T1T2 	 0 	8 	O 	O 	1.0 	0.0 	13 	G 	G 	1.0 	0.0 	0
main	33 	100_34_c 	 T1T2 	 0 	6 	Y 	Z 	0.0 	-1.0 	16 	F 	F 	1.0 	0.0 	0
main	34 	100_34_c 	 T1T2 	 0 	6 	D 	D 	1.0 	0.0 	14 	I 	I 	1.0 	0.0 	0
main	35 	100_34_c 	 T1T2 	 0 	6 	N 	V 	0.0 	1.0 	7 	V 	N 	0.0 	-1.0 	0
main	36 	100_34_c 	 T1T2 	 0 	10 	X 	X 	1.0 	0.0 	18 	M 	M 	1.0 	0.0 	0
main	37 	100_34_c 	 T1T2 	 0 	8 	T 	T 	1.0 	0.0 	18 	J 	J 	1.0 	0.0 	0
main	38 	100_34_c 	 T1T2 	 0 	8 	V 	P 	0.0 	-1.0 	16 	G 	G 	1.0 	0.0 	0
main	39 	100_34_c 	 T1T2 	 0 	8 	A 	A 	1.0 	0.0 	9 	H 	M 	0.0 	-2.0 	0
main	40 	100_34_c 	 T1T2 	 0 	6 	J 	J 	1.0 	0.0 	11 	N 	N 	1.0 	0.0 	0
main	41 	100_34_c 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	20 	Z 	Z 	1.0 	0.0 	0
main	42 	100_34_c 	 T1T2 	 0 	10 	U 	J 	0.0 	-1.0 	15 	D 	M 	0.0 	-7.0 	0
main	43 	100_34_c 	 T1T2 	 0 	10 	Y 	R 	0.0 	1.0 	11 	R 	M 	0.0 	-2.0 	0
main	44 	100_34_c 	 T1T2 	 0 	6 	Q 	Q 	1.0 	0.0 	8 	U 	O 	0.0 	9.0 	0
main	45 	100_34_c 	 T1T2 	 0 	10 	U 	W 	0.0 	-1.0 	12 	X 	J 	0.0 	-4.0 	0
main	46 	100_34_c 	 T1T2 	 0 	6 	O 	O 	1.0 	0.0 	14 	M 	M 	1.0 	0.0 	0
main	47 	100_34_c 	 T1T2 	 0 	6 	B 	B 	1.0 	0.0 	11 	F 	H 	0.0 	-6.0 	0
main	48 	100_34_c 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	9 	F 	F 	1.0 	0.0 	0
main	49 	100_34_c 	 T1T2 	 0 	8 	D 	D 	1.0 	0.0 	10 	E 	R 	0.0 	1.0 	0
main	50 	100_34_c 	 T1T2 	 0 	8 	V 	O 	0.0 	-6.0 	13 	T 	V 	0.0 	-5.0 	0
main	51 	100_34_c 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	18 	C 	C 	1.0 	0.0 	0
main	52 	100_34_c 	 T1T2 	 0 	6 	Y 	K 	0.0 	1.0 	16 	L 	V 	0.0 	-11.0 	0
main	53 	100_34_c 	 T1T2 	 0 	10 	R 	R 	1.0 	0.0 	15 	D 	D 	1.0 	0.0 	0
main	54 	100_34_c 	 T1T2 	 0 	6 	Q 	O 	0.0 	-1.0 	8 	F 	Q 	0.0 	-2.0 	0
main	55 	100_34_c 	 T1T2 	 0 	10 	G 	P 	0.0 	1.0 	11 	P 	F 	0.0 	-7.0 	0
main	56 	100_34_c 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	20 	K 	K 	1.0 	0.0 	0
main	57 	100_34_c 	 T1T2 	 0 	10 	I 	I 	1.0 	0.0 	18 	K 	K 	1.0 	0.0 	0
main	58 	100_34_c 	 T1T2 	 0 	8 	I 	I 	1.0 	0.0 	16 	K 	H 	0.0 	1.0 	0
main	59 	100_34_c 	 T1T2 	 0 	6 	F 	R 	0.0 	1.0 	7 	R 	H 	0.0 	9.0 	0
