experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	Hubert 	 T1T2 	 0 	7 	P 	Z 	0.0 	1.0 	8 	Z 	E 	0.0 	-4.0 	0
main	1 	Hubert 	 T1T2 	 0 	8 	U 	U 	1.0 	0.0 	9 	O 	Y 	0.0 	-5.0 	0
main	2 	Hubert 	 T1T2 	 0 	6 	O 	O 	1.0 	0.0 	11 	U 	U 	1.0 	0.0 	0
main	3 	Hubert 	 T1T2 	 0 	10 	L 	J 	0.0 	10.0 	12 	C 	H 	0.0 	-1.0 	0
main	4 	Hubert 	 T1T2 	 0 	10 	L 	J 	0.0 	-1.0 	15 	F 	E 	0.0 	1.0 	0
main	5 	Hubert 	 T1T2 	 0 	8 	C 	W 	0.0 	-1.0 	13 	O 	E 	0.0 	1.0 	0
main	6 	Hubert 	 T1T2 	 0 	6 	H 	T 	0.0 	1.0 	7 	T 	Y 	0.0 	-2.0 	0
main	7 	Hubert 	 T1T2 	 0 	9 	L 	L 	1.0 	0.0 	17 	K 	H 	0.0 	1.0 	0
main	8 	Hubert 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	19 	Y 	Y 	1.0 	0.0 	0
main	9 	Hubert 	 T1T2 	 0 	6 	K 	K 	1.0 	0.0 	16 	O 	O 	1.0 	0.0 	0
main	10 	Hubert 	 T1T2 	 0 	8 	R 	W 	0.0 	1.0 	18 	E 	E 	1.0 	0.0 	0
main	11 	Hubert 	 T1T2 	 0 	9 	B 	X 	0.0 	-1.0 	10 	V 	B 	0.0 	-1.0 	0
main	12 	Hubert 	 T1T2 	 0 	10 	B 	D 	0.0 	1.0 	20 	T 	T 	1.0 	0.0 	0
main	13 	Hubert 	 T1T2 	 0 	7 	B 	W 	0.0 	-1.0 	17 	Y 	J 	0.0 	-1.0 	0
main	14 	Hubert 	 T1T2 	 0 	7 	N 	Q 	0.0 	-1.0 	12 	T 	W 	0.0 	1.0 	0
main	15 	Hubert 	 T1T2 	 0 	7 	N 	N 	1.0 	0.0 	9 	W 	F 	0.0 	2.0 	0
main	16 	Hubert 	 T1T2 	 0 	8 	S 	Y 	0.0 	-1.0 	16 	A 	A 	1.0 	0.0 	0
main	17 	Hubert 	 T1T2 	 0 	8 	C 	W 	0.0 	-1.0 	10 	Q 	S 	0.0 	-1.0 	0
main	18 	Hubert 	 T1T2 	 0 	7 	G 	G 	1.0 	0.0 	15 	T 	T 	1.0 	0.0 	0
main	19 	Hubert 	 T1T2 	 0 	6 	G 	G 	1.0 	0.0 	8 	F 	L 	0.0 	1.0 	0
main	20 	Hubert 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	18 	H 	H 	1.0 	0.0 	0
main	21 	Hubert 	 T1T2 	 0 	6 	H 	H 	1.0 	0.0 	14 	C 	W 	0.0 	-1.0 	0
main	22 	Hubert 	 T1T2 	 0 	9 	T 	T 	1.0 	0.0 	11 	G 	I 	0.0 	1.0 	0
main	23 	Hubert 	 T1T2 	 0 	9 	Y 	Y 	1.0 	0.0 	14 	A 	D 	0.0 	1.0 	0
main	24 	Hubert 	 T1T2 	 0 	10 	I 	D 	0.0 	-1.0 	11 	G 	I 	0.0 	-1.0 	0
main	25 	Hubert 	 T1T2 	 0 	7 	Z 	S 	0.0 	1.0 	17 	H 	H 	1.0 	0.0 	0
