experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	sjj 	 T1T2 	 0 	7 	D 	D 	1.0 	0.0 	17 	T 	T 	1.0 	0.0 	0
main	1 	sjj 	 T1T2 	 0 	8 	P 	P 	1.0 	0.0 	18 	H 	W 	0.0 	-1.0 	0
main	2 	sjj 	 T1T2 	 0 	9 	R 	R 	1.0 	0.0 	14 	J 	J 	1.0 	0.0 	0
main	3 	sjj 	 T1T2 	 0 	10 	N 	R 	0.0 	-1.0 	18 	F 	F 	1.0 	0.0 	0
main	4 	sjj 	 T1T2 	 0 	10 	T 	T 	1.0 	0.0 	20 	D 	D 	1.0 	0.0 	0
main	5 	sjj 	 T1T2 	 0 	9 	K 	K 	1.0 	0.0 	10 	M 	I 	0.0 	-2.0 	0
main	6 	sjj 	 T1T2 	 0 	8 	P 	P 	1.0 	0.0 	9 	M 	S 	0.0 	3.0 	0
main	7 	sjj 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	11 	N 	F 	0.0 	2.0 	0
main	8 	sjj 	 T1T2 	 0 	9 	T 	T 	1.0 	0.0 	11 	Q 	O 	0.0 	1.0 	0
main	9 	sjj 	 T1T2 	 0 	6 	T 	T 	1.0 	0.0 	14 	F 	F 	1.0 	0.0 	0
main	10 	sjj 	 T1T2 	 0 	7 	F 	F 	1.0 	0.0 	8 	K 	Y 	0.0 	1.0 	0
main	11 	sjj 	 T1T2 	 0 	8 	Q 	B 	0.0 	-1.0 	13 	X 	X 	1.0 	0.0 	0
main	12 	sjj 	 T1T2 	 0 	6 	W 	W 	1.0 	0.0 	11 	E 	Z 	0.0 	1.0 	0
main	13 	sjj 	 T1T2 	 0 	8 	S 	S 	1.0 	0.0 	16 	T 	T 	1.0 	0.0 	0
main	14 	sjj 	 T1T2 	 0 	6 	W 	W 	1.0 	0.0 	8 	V 	X 	0.0 	1.0 	0
main	15 	sjj 	 T1T2 	 0 	9 	Z 	Z 	1.0 	0.0 	17 	T 	T 	1.0 	0.0 	0
main	16 	sjj 	 T1T2 	 0 	6 	O 	O 	1.0 	0.0 	16 	A 	A 	1.0 	0.0 	0
main	17 	sjj 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	15 	U 	V 	0.0 	1.0 	0
main	18 	sjj 	 T1T2 	 0 	7 	N 	H 	0.0 	-1.0 	15 	E 	E 	1.0 	0.0 	0
main	19 	sjj 	 T1T2 	 0 	7 	A 	A 	1.0 	0.0 	9 	O 	Z 	0.0 	2.0 	0
main	20 	sjj 	 T1T2 	 0 	7 	G 	G 	1.0 	0.0 	12 	C 	C 	1.0 	0.0 	0
main	21 	sjj 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	12 	Z 	E 	0.0 	2.0 	0
main	22 	sjj 	 T1T2 	 0 	8 	E 	G 	0.0 	-1.0 	10 	S 	H 	0.0 	13.0 	0
main	23 	sjj 	 T1T2 	 0 	6 	Z 	Z 	1.0 	0.0 	7 	D 	I 	0.0 	-2.0 	0
main	24 	sjj 	 T1T2 	 0 	9 	W 	W 	1.0 	0.0 	19 	F 	F 	1.0 	0.0 	0
