experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	Hubert 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	18 	O 	O 	1.0 	0.0 	0
main	1 	Hubert 	 T1T2 	 0 	10 	O 	O 	1.0 	0.0 	15 	N 	A 	0.0 	1.0 	0
main	2 	Hubert 	 T1T2 	 0 	9 	D 	D 	1.0 	0.0 	11 	M 	I 	0.0 	-4.0 	0
main	3 	Hubert 	 T1T2 	 0 	7 	B 	B 	1.0 	0.0 	8 	G 	B 	0.0 	-1.0 	0
main	4 	Hubert 	 T1T2 	 0 	9 	G 	G 	1.0 	0.0 	14 	V 	V 	1.0 	0.0 	0
main	5 	Hubert 	 T1T2 	 0 	8 	B 	B 	1.0 	0.0 	9 	E 	B 	0.0 	-1.0 	0
main	6 	Hubert 	 T1T2 	 0 	9 	L 	L 	1.0 	0.0 	10 	O 	I 	0.0 	-5.0 	0
main	7 	Hubert 	 T1T2 	 0 	8 	Z 	Z 	1.0 	0.0 	13 	F 	F 	1.0 	0.0 	0
main	8 	Hubert 	 T1T2 	 0 	8 	L 	D 	0.0 	-1.0 	16 	T 	G 	0.0 	-15.0 	0
main	9 	Hubert 	 T1T2 	 0 	9 	N 	P 	0.0 	-1.0 	17 	G 	A 	0.0 	-2.0 	0
main	10 	Hubert 	 T1T2 	 0 	7 	I 	I 	1.0 	0.0 	15 	A 	A 	1.0 	0.0 	0
main	11 	Hubert 	 T1T2 	 0 	10 	M 	M 	1.0 	0.0 	11 	F 	M 	0.0 	-1.0 	0
main	12 	Hubert 	 T1T2 	 0 	9 	C 	C 	1.0 	0.0 	19 	E 	E 	1.0 	0.0 	0
main	13 	Hubert 	 T1T2 	 0 	8 	R 	R 	1.0 	0.0 	18 	C 	C 	1.0 	0.0 	0
main	14 	Hubert 	 T1T2 	 0 	7 	P 	P 	1.0 	0.0 	12 	T 	U 	0.0 	1.0 	0
main	15 	Hubert 	 T1T2 	 0 	7 	T 	T 	1.0 	0.0 	17 	E 	Z 	0.0 	1.0 	0
main	16 	Hubert 	 T1T2 	 0 	6 	T 	A 	0.0 	1.0 	7 	A 	A 	1.0 	0.0 	0
main	17 	Hubert 	 T1T2 	 0 	6 	W 	W 	1.0 	0.0 	11 	N 	T 	0.0 	2.0 	0
main	18 	Hubert 	 T1T2 	 0 	7 	A 	A 	1.0 	0.0 	9 	Z 	Z 	1.0 	0.0 	0
main	19 	Hubert 	 T1T2 	 0 	8 	H 	H 	1.0 	0.0 	10 	P 	P 	1.0 	0.0 	0
main	20 	Hubert 	 T1T2 	 0 	10 	U 	U 	1.0 	0.0 	20 	L 	L 	1.0 	0.0 	0
main	21 	Hubert 	 T1T2 	 0 	6 	C 	A 	0.0 	1.0 	8 	B 	C 	0.0 	-2.0 	0
main	22 	Hubert 	 T1T2 	 0 	10 	G 	G 	1.0 	0.0 	12 	K 	U 	0.0 	-3.0 	0
main	23 	Hubert 	 T1T2 	 0 	6 	N 	N 	1.0 	0.0 	16 	W 	W 	1.0 	0.0 	0
main	24 	Hubert 	 T1T2 	 0 	6 	H 	A 	0.0 	1.0 	14 	E 	C 	0.0 	1.0 	0
