experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	zyl 	 T1T2 	 0 	10 	O 	G 	0.0 	-1.0 	12 	B 	I 	0.0 	6.0 	0
main	1 	zyl 	 T1T2 	 0 	6 	Z 	Z 	1.0 	0.0 	11 	M 	M 	1.0 	0.0 	0
main	2 	zyl 	 T1T2 	 0 	7 	V 	V 	1.0 	0.0 	15 	Q 	Q 	1.0 	0.0 	0
main	3 	zyl 	 T1T2 	 0 	7 	D 	W 	0.0 	-4.0 	8 	L 	I 	0.0 	2.0 	0
main	4 	zyl 	 T1T2 	 0 	8 	V 	S 	0.0 	-1.0 	10 	C 	G 	0.0 	1.0 	0
main	5 	zyl 	 T1T2 	 0 	6 	H 	H 	1.0 	0.0 	14 	J 	L 	0.0 	1.0 	0
main	6 	zyl 	 T1T2 	 0 	9 	T 	Z 	0.0 	-1.0 	10 	E 	T 	0.0 	-1.0 	0
main	7 	zyl 	 T1T2 	 0 	8 	R 	R 	1.0 	0.0 	16 	W 	W 	1.0 	0.0 	0
main	8 	zyl 	 T1T2 	 0 	10 	W 	W 	1.0 	0.0 	20 	X 	K 	0.0 	1.0 	0
main	9 	zyl 	 T1T2 	 0 	9 	T 	T 	1.0 	0.0 	14 	O 	Q 	0.0 	-4.0 	0
main	10 	zyl 	 T1T2 	 0 	8 	H 	H 	1.0 	0.0 	9 	L 	Z 	0.0 	-2.0 	0
main	11 	zyl 	 T1T2 	 0 	9 	I 	T 	0.0 	-1.0 	19 	F 	E 	0.0 	2.0 	0
main	12 	zyl 	 T1T2 	 0 	8 	Q 	Q 	1.0 	0.0 	13 	B 	S 	0.0 	-9.0 	0
main	13 	zyl 	 T1T2 	 0 	9 	A 	F 	0.0 	-1.0 	17 	B 	B 	1.0 	0.0 	0
main	14 	zyl 	 T1T2 	 0 	10 	S 	S 	1.0 	0.0 	18 	R 	R 	1.0 	0.0 	0
main	15 	zyl 	 T1T2 	 0 	10 	L 	A 	0.0 	-1.0 	15 	Q 	Q 	1.0 	0.0 	0
main	16 	zyl 	 T1T2 	 0 	8 	G 	G 	1.0 	0.0 	18 	S 	S 	1.0 	0.0 	0
main	17 	zyl 	 T1T2 	 0 	7 	M 	M 	1.0 	0.0 	17 	U 	U 	1.0 	0.0 	0
