experimentPhase	trialnum	subject	task	noisePercent	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	0 	no_C 	 T1T2 	 0 	8 	V 	P 	0.0 	1.0 	11 	L 	V 	0.0 	-3.0 	0
main	1 	no_C 	 T1T2 	 0 	8 	V 	M 	0.0 	1.0 	15 	F 	X 	0.0 	1.0 	0
main	2 	no_C 	 T1T2 	 0 	10 	P 	P 	1.0 	0.0 	19 	A 	A 	1.0 	0.0 	0
main	3 	no_C 	 T1T2 	 0 	6 	E 	E 	1.0 	0.0 	9 	O 	X 	0.0 	14.0 	0
main	4 	no_C 	 T1T2 	 0 	8 	K 	A 	0.0 	1.0 	13 	L 	K 	0.0 	-5.0 	0
main	5 	no_C 	 T1T2 	 0 	10 	R 	R 	1.0 	0.0 	15 	U 	W 	0.0 	-6.0 	0
main	6 	no_C 	 T1T2 	 0 	8 	C 	X 	0.0 	1.0 	17 	A 	A 	1.0 	0.0 	0
main	7 	no_C 	 T1T2 	 0 	8 	Y 	S 	0.0 	1.0 	9 	S 	Y 	0.0 	-1.0 	0
main	8 	no_C 	 T1T2 	 0 	10 	M 	P 	0.0 	1.0 	11 	P 	M 	0.0 	-1.0 	0
main	9 	no_C 	 T1T2 	 0 	10 	A 	A 	1.0 	0.0 	13 	W 	W 	1.0 	0.0 	0
main	10 	no_C 	 T1T2 	 0 	6 	O 	O 	1.0 	0.0 	7 	J 	J 	1.0 	0.0 	0
main	11 	no_C 	 T1T2 	 0 	10 	J 	P 	0.0 	-1.0 	17 	F 	M 	0.0 	-6.0 	0
main	12 	no_C 	 T1T2 	 0 	6 	L 	L 	1.0 	0.0 	15 	E 	E 	1.0 	0.0 	0
main	13 	no_C 	 T1T2 	 0 	6 	D 	D 	1.0 	0.0 	11 	O 	P 	0.0 	-3.0 	0
main	14 	no_C 	 T1T2 	 0 	6 	W 	W 	1.0 	0.0 	13 	H 	H 	1.0 	0.0 	0
main	15 	no_C 	 T1T2 	 0 	10 	L 	N 	0.0 	1.0 	15 	O 	D 	0.0 	-6.0 	0
main	16 	no_C 	 T1T2 	 0 	6 	X 	X 	1.0 	0.0 	13 	B 	P 	0.0 	-8.0 	0
main	17 	no_C 	 T1T2 	 0 	8 	C 	Z 	0.0 	1.0 	9 	Z 	C 	0.0 	-1.0 	0
